"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"860Z200US00601","ZCTA5 00601","19454","1546",
"860Z200US00602","ZCTA5 00602","21420","1811",
"860Z200US00603","ZCTA5 00603","20933","1650",
"860Z200US00606","ZCTA5 00606","20992","3212",
"860Z200US00610","ZCTA5 00610","24496","1378",
"860Z200US00611","ZCTA5 00611","20360","7048",
"860Z200US00612","ZCTA5 00612","24488","1512",
"860Z200US00616","ZCTA5 00616","21846","2930",
"860Z200US00617","ZCTA5 00617","25013","3790",
"860Z200US00622","ZCTA5 00622","26585","4980",
"860Z200US00623","ZCTA5 00623","26388","1709",
"860Z200US00624","ZCTA5 00624","22979","1881",
"860Z200US00627","ZCTA5 00627","27411","2615",
"860Z200US00631","ZCTA5 00631","19278","3989",
"860Z200US00636","ZCTA5 00636","-","**",
"860Z200US00637","ZCTA5 00637","21987","1696",
"860Z200US00638","ZCTA5 00638","22610","2353",
"860Z200US00641","ZCTA5 00641","21102","1324",
"860Z200US00646","ZCTA5 00646","36265","4517",
"860Z200US00647","ZCTA5 00647","20023","2756",
"860Z200US00650","ZCTA5 00650","21447","1884",
"860Z200US00652","ZCTA5 00652","35383","8579",
"860Z200US00653","ZCTA5 00653","16736","1661",
"860Z200US00656","ZCTA5 00656","24065","2999",
"860Z200US00659","ZCTA5 00659","27513","3123",
"860Z200US00660","ZCTA5 00660","26851","1962",
"860Z200US00662","ZCTA5 00662","23299","2622",
"860Z200US00664","ZCTA5 00664","21767","3547",
"860Z200US00667","ZCTA5 00667","19534","1889",
"860Z200US00669","ZCTA5 00669","18778","1406",
"860Z200US00670","ZCTA5 00670","16367","1580",
"860Z200US00674","ZCTA5 00674","22537","1761",
"860Z200US00676","ZCTA5 00676","23272","2508",
"860Z200US00677","ZCTA5 00677","24266","2306",
"860Z200US00678","ZCTA5 00678","23874","3961",
"860Z200US00680","ZCTA5 00680","17896","1160",
"860Z200US00682","ZCTA5 00682","18793","1322",
"860Z200US00683","ZCTA5 00683","18543","1697",
"860Z200US00685","ZCTA5 00685","20310","1823",
"860Z200US00687","ZCTA5 00687","25003","2217",
"860Z200US00688","ZCTA5 00688","18023","2512",
"860Z200US00690","ZCTA5 00690","25755","2694",
"860Z200US00692","ZCTA5 00692","25568","2581",
"860Z200US00693","ZCTA5 00693","24596","1745",
"860Z200US00694","ZCTA5 00694","16094","5759",
"860Z200US00698","ZCTA5 00698","24310","2398",
"860Z200US00703","ZCTA5 00703","23292","2530",
"860Z200US00704","ZCTA5 00704","20899","3296",
"860Z200US00705","ZCTA5 00705","21712","1550",
"860Z200US00707","ZCTA5 00707","17750","3492",
"860Z200US00714","ZCTA5 00714","21186","2219",
"860Z200US00715","ZCTA5 00715","22670","10458",
"860Z200US00716","ZCTA5 00716","20652","2491",
"860Z200US00717","ZCTA5 00717","13602","2456",
"860Z200US00718","ZCTA5 00718","23487","2677",
"860Z200US00719","ZCTA5 00719","22129","1601",
